,ocr_text_raw,math_category
56,"27. 실수 전체의 집합에서 미분가능한 함수 \( f(x) \) 가 역함수 \( g(x) \) 를 갖고, 모든 실수 \( x \) 에 대하여
\[
e^{2 f(x)}-e^{f(2 x)}-2 e^{3 x}=0
\]

을 만족시킨다. \( g^{\prime}(f(0)) \) 의 값은? [3점]
(1) \( \frac{1}{6} \)
(2) \( \frac{1}{3} \)
(3) \( \frac{1}{2} \)
(4) \( \frac{2}{3} \)
(5) \( \frac{5}{6} \)",미분법
57,"28. \( 7 \pi \) 보다 작은 두 양수 \( a, b \) 에 대하여 함수
\[
f(x)=\sin (a+b \cos x)
\]

가 다음 조건을 만족시킬 때, \( a+b \) 의 값은? [4점]
(가) 방정식 \( f^{\prime}(x)=b \) 의 해가 존재한다.
(나) \( \lim _{x \rightarrow 0} \frac{1}{x} \sin \left(f(a)\left(\pi+\frac{x}{4}\right)\right)=\frac{b}{a} \)
(1) \( 5 \pi \)
(2) \( \frac{25}{4} \pi \)
(3) \( \frac{15}{2} \pi \)
(4) \( \frac{35}{4} \pi \)
(5) \( 10 \pi \)",미분법
58,"29. 그림과 갈이 \( \overline{\mathrm{AB}}=\sqrt{3}, \overline{\mathrm{BC}}=2 \) 이고 \( \angle \mathrm{CBA}=\frac{\pi}{2} \) 인 직각삼각형 ABC 와 선분 BC 를 지름으로 하는 반원이 있다. 호 BC 위의 점 P 에 대하여 \( \angle \mathrm{BAP}=\theta \) 일 때, 삼각형 ABP 의 넓이를 \( f(\theta) \) 라 하자. \( 20 f^{\prime}\left(\frac{\pi}{6}\right) \) 의 값을 구하시오. (단, 점 P 는 점 B 가 아니다.) [4점]",미분법
59,"30. 수열 \( \left\{a_{n}\right\} \) 은 모든 항이 양수인 등비수열이고, 수열 \( \left\{b_{n}\right\} \) 을

모든 자연수 \( n \) 에 대하여
\[
b_{n}=\left\{\begin{array}{cc}
(-1)^{n} & \left(a_{n}<1\right) \\
a_{n} & \left(a_{n} \geq 1\right)
\end{array}\right.
\]

이라 할 때, 수열 \( \left\{b_{n}\right\} \) 이 다음 조건을 만족시킨다.
(가) 급수 \( \sum_{n-1}^{\infty}\left(3 b_{3 n-2}-7 b_{3 n-1}+2 b_{3 n}\right) \) 은 수렴한다.
(나) \( b_{5}{ }^{2}=b_{4} b_{6}-\frac{9}{4} \)
\( 90 a_{3} \) 의 값을 구하시오. [4점]",급수
82,"23. 그림과 같이 한 변의 길이가 3 인 정사각형 ABCD 에서 \( \left|\overrightarrow{\mathrm{AC}}+\frac{1}{3} \overrightarrow{\mathrm{CD}}\right| \) 의 값은? [2점]
(1) \( \sqrt{13} \)
(2) \( \sqrt{14} \)
(3) \( \sqrt{15} \)
(4) 4
(5) \( \sqrt{17} \)",평면벡터
83,"24. 타원 \( \frac{x^{2}}{a^{2}}+\frac{y^{2}}{4}=1 \) 의 장축의 길이가 단축의 길이의 2 배가 되도록 하는 모든 양수 \( a \) 의 값의 합은? [3점]
(1) 3
(2) 4
(3) 5
(4) 6
(5) 7",이차곡선
84,"25. 양수 \( p \) 에 대하여 포물선 \( y^{2}=4 p x \) 위의 점 \( \left(\frac{1}{p}, 2\right) \) 에서의 접선이 포물선의 준선과 만나는 점의 \( y \) 좌표가 \( -\frac{5}{4} \) 일 때, \( p \) 의 값은?
[3점]
(1) 1
(2) \( \frac{3}{2} \)
(3) 2
(4) \( \frac{5}{2} \)
(5) 3",이차곡선
85,"26. 두 초점이 \( \mathrm{F}(c, 0), \mathrm{F}^{\prime}(-c, 0)(c>0) \) 인 쌍곡선 \( \frac{x^{2}}{4}-\frac{y^{2}}{5}=1 \) 에 대하여 점 F 를 지나고 \( x \) 축에 수직인 직선이 쌍곡선의 두 점근선과 만나는 검을 각각 \( \mathrm{P}, \mathrm{Q} \) 라 할 때, 삼각형 \( \mathrm{F}^{\prime} \mathrm{PQ} \) 의 넓이는? [3점]
(1) \( 5 \sqrt{5} \)
(2) \( 6 \sqrt{5} \)
(3) \( 7 \sqrt{5} \)
(4) \( 8 \sqrt{5} \)
(5) \( 9 \sqrt{5} \)",이차곡선
86,"27. 포물선 \( C_{1} \) 의 초점 F 에 대하여 점 F 를 꼭짓점으로 하는 포물선 \( C_{2} \) 가 있다. 두 포물선 \( C_{1}, C_{2} \) 는 준선이 서로 일치하고 서로 다른 두 점 \( \mathrm{A}, \mathrm{B} \) 에서 만난다. \( \overline{\mathrm{AF}}=6 \) 일 때, 삼각형 AFB 의 넓이는?
[3점]
(1) \( 5 \sqrt{2} \)
(2) \( 6 \sqrt{2} \)
(3) \( 7 \sqrt{2} \)
(4) \( 8 \sqrt{2} \)
(5) \( 9 \sqrt{2} \)",이차곡선
87,"28. 그림과 갈이 두 초점이 \( \mathrm{F}(1,0), \mathrm{F}^{\prime}(-1,0) \) 이고 단축의 길이가 \( 2 \sqrt{5} \) 인 타원과 \( y \) 축 위의 점 A 가 있다. 점 A 를 \( x \) 축에 대하여 대칭이동한 점을 B 라 하자. 제 1 사분면에서 이 타원 위를 움직이는 점 P 에 대하여 네 선분 \( \mathrm{AB}, \mathrm{BF}, \mathrm{FP}, \mathrm{PA} \) 로 둘러싸인 도형의 넓이가 최대가 되도록 하는 점 P 를 \( \mathrm{P}_{0}(a, b) \) 라 하자.
\( \overline{\mathrm{BF}}+\overline{\mathrm{FP}_{0}}+\overline{\mathrm{P}_{0} \mathrm{~A}}=2 \sqrt{6} \) 일 때, \( a \times b \) 의 값은?
(단, 점 A 의 \( y \) 좌표는 양수이고, \( \overline{\mathrm{AB}}<2 \sqrt{5} \) 이다.) [4점]
(1) \( \frac{11 \sqrt{2}}{8} \)
(2) \( \frac{3 \sqrt{2}}{2} \)
(3) \( \frac{13 \sqrt{2}}{8} \)
(4) \( \frac{7 \sqrt{2}}{4} \)
(5) \( \frac{15 \sqrt{2}}{8} \)",이차곡선
88,"29. 그림과 같이 두 점 \( \mathrm{F}(c, 0), \mathrm{F}^{\prime}(-c, 0)(c>0) \) 을 초점으로 하는 쌍곡선이 있다. 이 쌍곡선 위의 제 1 사분면에 있는 점 P 와 이 쌍곡선 위의 제 4 사분면에 있는 점 Q 에 대하여 직선 PQ 가 점 F 를 지나고 \( \overline{\mathrm{OF}}=\overline{\mathrm{OP}} \) 이다. 세 점 \( \mathrm{P}, \mathrm{F}^{\prime}, \mathrm{Q} \) 를 지나는 원의 넓이가 \( 25 \pi \) 이고 \( \overline{\mathrm{F}^{\prime} \mathrm{Q}}: \overline{\mathrm{FQ}}=5: 3 \) 일 때, \( c^{2} \times \overline{\mathrm{PF}} \) 의 값을 구하시오. (단, O 는 원점이다.) [4점]",이차곡선
89,"30. 그림과 같이 \( \overline{\mathrm{AD}}=8 \sqrt{3} \) 인 직사각형 ABCD 가 있다.

두 점 \( \mathrm{E}, \mathrm{F} \) 가 점 E 는 선분 AD 위를, 점 F 는 선분 BC 위를 \( \angle \mathrm{CFE}=60^{\circ} \) 를 만족시키며 움직인다. 선분 EF 를 \( 1: 2 \) 로 내분하는 점을 G 라 할 때, 점 G 가 다음 조건을 만족시킨다.
\( |\overrightarrow{\mathrm{GA}}+\overrightarrow{\mathrm{GC}}| \) 의 최댓값을 \( M \), 최솟값을 \( m \) 이라 할 때, \( M: m=\sqrt{13}: 1 \) 이다.
\( |\overrightarrow{\mathrm{GA}}+\overrightarrow{\mathrm{GC}}| \) 의 값이 최대일 때의 점 G 를 \( \mathrm{G}_{1} \), 최소일 때의 점 G 를 \( \mathrm{G}_{2} \) 라 하자. 삼각형 \( \mathrm{BG}_{1} \mathrm{G}_{2} \) 의 넓이를 \( S \) 라 할 때, \( S^{2} \) 의 값을 구하시오. (단, \( \overline{\mathrm{AB}} \leq 18 \) ) [4점]",평면벡터
90,"1. \( \sqrt[3]{4} \times 2^{\frac{1}{3}} \) 의 값은? [2점]
(1) 1
(2) 2
(3) 3
(4) 4
(5) 5",지수함수와 로그함수
91,"2. 함수 \( f(x)=x^{3}-4 x^{2}+x \) 에 대하여 \( \lim _{h \rightarrow 0} \frac{f(3+h)-f(3)}{h} \) 의 값은? [2점]
(1) 1
(2) 2
(3) 3
(4) 4
(5) 5",미분법
92,"3. 모든 항이 양수인 등비수열 \( \left\{a_{n}\right\} \) 이
\[
a_{4}=2 a_{3}+3 a_{2}
\]

를 만족시킬 때, 수열 \( \left\{a_{n}\right\} \) 의 공비는? [3점]
(1) 1
(2) 2
(3) 3
(4) 4
(5) 5",수열
93,"4. 닫힌구간 \( [-2,2] \) 에서 정의된 함수 \( y=f(x) \) 의 그래프가 그림과 같다.
\( \lim _{x \rightarrow 0-} f(x)-\lim _{x \rightarrow 1+} f(x) \) 의 값은? [3점]
(1) -2
(2) -1
(3) 0
(4) 1
(5) 2",함수의 극한과 연속
94,"5. 함수 \( f(x)=\left(x^{2}+x\right)\left(2 x^{2}-x\right) \) 에 대하여 \( f^{\prime}(1) \) 의 값은? [3점]
(1) 5
(2) 6
(3) 7
(4) 8
(5) 9",미분법
95,"6. \( \sin \left(\frac{3}{2} \pi+\theta\right)=\frac{1}{3} \) 일 때, \( \sin \theta \tan \theta \) 의 값은? [3점]
(1) \( -\frac{8}{3} \)
(2) \( -\frac{4}{3} \)
(3) 0
(4) \( \frac{4}{3} \)
(5) \( \frac{8}{3} \)",삼각함수
96,"7. 다항함수 \( f(x) \) 에 대하여 \( f^{\prime}(x)=x^{3}+x \) 이고 \( f(0)=-1 \) 일 때, \( f(2) \) 의 값은? [3점]
(1) 1
(2) 2
(3) 3
(4) 4
(5) 5",적분법
97,"8. 두 실수 \( a=(\log 3)^{2}-(\log 2)^{2}, b=\log _{6} 10 \) 에 대하여 \( 10^{\text {ob }} \) 의 값은? [3점]
(1) \( \frac{7}{6} \)
(2) \( \frac{4}{3} \)
(3) \( \frac{3}{2} \)
(4) \( \frac{5}{3} \)
(5) \( \frac{11}{6} \)",지수함수와 로그함수
98,"9. 시각 \( t=0 \) 일 때 원점을 출발하여 수직선 위를 음직이는 점 P 의 시각 \( t(t \geq 0) \) 에서의 속도 \( v(t) \) 가
\[
v(t)=-3 t^{2}+6 t
\]

이다. 양수 \( a \) 에 대하여 시각 \( t=a \) 에서 점 P 의 위치가 0 일 때, 시각 \( t=0 \) 에서 \( t=2 a \) 까지 점 P 가 움직인 거리는? [4점]
(1) 112
(2) 114
(3) 116
(4) 118
(5) 120",적분법
99,"10. 수열 \( \left\{a_{n}\right\} \) 이 모든 자연수 \( n \) 에 대하여
\[
a_{n}=\left\{\begin{array}{ll}
10 & (n \text { 이 } 3 \text { 의 배수가 아닌 경우 }) \\
-19 & (n \text { 이 } 3 \text { 의 배수인 경우 })
\end{array}\right.
\]

일 때, \( \sum_{k=1}^{n} a_{k}=\sum_{k=1}^{3 n} a_{k} \) 를 만족시키는 자연수 \( n \) 의 값은? [4점]
(1) 25
(2) 26
(3) 27
(4) 28
(5) 29",수열
100,"11. 0 이 아닌 실수 \( a \) 에 대하여 함수 \( f(x) \) 를
\[
f(x)=x^{3}+3 a x^{2}+4 a
\]

라 하자. 함수 \( f(x) \) 의 극솟값이 -40 일 때, \( f(2) \) 의 값은? [4점]
(1) -24
(2) -20
(3) -16
(4) -12
(5) -8",미분법
101,"12. 함수 \( f(x)=x^{3}+2 x^{2}-x+4 \) 에 대하여 원점 \( O \) 에서 곡선 \( y=f(x) \) 에 그은 접선의 접점을 A 라 하고, 곡선 위의 점 \( \mathrm{B}(-2, f(-2)) \) 에서 \( x \) 축에 내린 수선의 발을 C 라 하자. 곡선 \( y=f(x) \) 와 세 선분 \( \mathrm{OA}, \mathrm{OC}, \mathrm{BC} \) 로 둘러싸인 부분의 넓이는?
[4점]
(1) \( \frac{45}{4} \)
(2) \( \frac{47}{4} \)
(3) \( \frac{49}{4} \)
(4) \( \frac{51}{4} \)
(5) \( \frac{53}{4} \)",적분법
